web-scraper-order,web-scraper-start-url,produit
"1706540408-1","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","Nouveauté
    
        
        
        
        4
    

    
    CULTIVONS LE BON Kiwis
france5 pièces0,86€ / pce
    Avec ma livraison
    
4,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-2","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        27
    

    
    Clémentines à déguster
espagne1,5kg3,13€ / kg
    Avec ma livraison
    
4,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-3","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        24
    

    
    Oranges à déguster
espagne2kg1,65€ / kg
    Avec ma livraison
    
3,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-4","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        19
    

    
    Oranges à déguster
espagne3kg1,50€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-5","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","Nouveauté
    
        
        
        
        9
    

    
    Citrons jaunes à jus
espagne1kg2,99€ / kg
    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-6","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","Nouveauté
    

    
    Oranges Maltaise
tunisie1,5kg3,99€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-7","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","Nouveauté
    
        
        
        
        8
    
AUCHAN BIO
    Mandarines
espagne1kg3,99€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-8","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        18
    

    
    Mandarines Pitufo plateau
espagne2,3kg2,60€ / kg
    Avec ma livraison
    
5,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-9","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        13
    

    
    Mandarines
espagne2kg2,35€ / kg
    Avec ma livraison
    
4,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-10","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","Nouveauté
    
        
        
        
        6
    

    
    Oranges sanguines Moro
italie1,5kg3,33€ / kg
    Avec ma livraison
    
4,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-11","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        12
    
AUCHAN BIO
    Oranges à déguster
espagne1kg3,19€ / kg
    Avec ma livraison
    
3,19€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-12","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        8
    
AUCHAN BIO
    Oranges à jus
espagne1,5kg2,99€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-13","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        23
    

    
    Oranges à jus
espagne3kg2,00€ / kg
    Avec ma livraison
    
5,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-14","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        5
    

    
    Orange à déguster
espagne1 pièce0,85€ / pce
    Avec ma livraison
    
0,85€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-15","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        12
    

    
    Oranges à jus
espagne2kg2,25€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-16","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","C'est de saison !
    
        
        
        
        3
    

    
    Oranges sanguines Tarocco
italie1,5kg2,99€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-17","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","2
    
AUCHAN BIO
    Citrons Corse
france4 pièces11,16€ / kg
    Avec ma livraison
    
2,79€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-18","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","3
    

    
    Citrons verts
bresil500g5,38€ / kg
    Avec ma livraison
    
2,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-19","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","6
    

    
    Citron jaune
espagne1 pièce0,55€ / pce
    Avec ma livraison
    
0,55€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-20","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","9
    

    
    Citrons jaunes non traités après récolte
espagne500g3,98€ / kg
    Avec ma livraison
    
1,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-21","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","10
    

    
    Citrons jaunes
espagne500g1,98€ / kg
    Avec ma livraison
    
0,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540408-22","https://www.auchan.fr/fruits-legumes/fruits/ca-n0301","5
    

    
    Citron jaune bio
espagne1 pièce0,89€ / pce
    Avec ma livraison
    
0,89€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
