web-scraper-order,web-scraper-start-url,produit
"1706541983-1","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","3
    
AUCHAN
    Pur jus d'orange sans pulpe
1L2,38€ / l5 % cagnottés
    
    Avec ma livraison
    
2,38€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-2","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","2
    
AUCHAN
    Pur jus d'orange sans pulpe
1,5L2,27€ / l5 % cagnottés
    
    Avec ma livraison
    
3,41€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-3","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","4
    
AUCHAN
    Pur jus d'orange avec pulpe
1,5L2,27€ / l5 % cagnottés
    
    Avec ma livraison
    
3,41€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-4","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","3
    
AUCHAN
    Pur jus d'orange avec pulpe
1L2,43€ / l5 % cagnottés
    
    Avec ma livraison
    
2,43€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-5","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","7
    
AUCHAN
    Pur jus d'ananas
1L2,62€ / l5 % cagnottés
    
    Avec ma livraison
    
2,62€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-6","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","3
    
AUCHAN
    Pur jus de pamplemousses
1L2,61€ / l5 % cagnottés
    
    Avec ma livraison
    
2,61€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-7","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","4
    
AUCHAN
    Pur jus multifruits
1,5L2,21€ / l5 % cagnottés
    
    Avec ma livraison
    
3,32€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-8","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","8
    
AUCHAN
    Pur jus exotique ananas mangue passion pressé
90cl2,54€ / l5 % cagnottés
    
    Avec ma livraison
    
2,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-9","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","97
    
AUCHAN
    Pur jus d'orange sans pulpe
4x1l1,92€ / l5 % cagnottés
    
    Avec ma livraison
    
7,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541983-10","https://www.auchan.fr/boissons-sans-alcool/jus-de-fruits-jus-de-legumes/ca-n0704","170
    
AUCHAN
    Pur jus d'orange sans pulpe
1,5l1,79€ / l5 % cagnottés
    
    Avec ma livraison
    
2,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
