web-scraper-order,web-scraper-start-url,produit
"1706540169-1","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","7
    

    
    Brocoli
espagne500g3,38€ / kg
    Avec ma livraison
    
1,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-2","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","15
    

    
    Tomates cerises allongées
maroc1kg6,99€ / kg
    Avec ma livraison
    
6,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-3","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        24
    
AUCHAN
    Pommes de terre de consommation à chair ferme salade vapeur sautées raclette
france2,5kg1,72€ / kg
    Avec ma livraison
    
4,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-4","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        22
    
AUCHAN
    Pommes de terre rouges de consommation à chair ferme salade vapeur sautées raclette
france2,5kg1,80€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-5","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        22
    
AUCHAN
    Pommes de terre four purée
france2,5kg1,32€ / kg
    Avec ma livraison
    
3,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-6","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        46
    

    
    Pommes de terre de consommation frites purée potage
francefilet 5kg1,00€ / kg
    Avec ma livraison
    
4,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-7","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        13
    

    
    Pommes de terre de consommation à chair ferme vapeur salade sautées
france2,5kg2,40€ / kg
    Avec ma livraison
    
5,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-8","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        24
    
AUCHAN
    Pommes de terre frites purée potage
france2.5kg1,32€ / kg
    Avec ma livraison
    
3,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-9","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        12
    
AUCHAN
    Pommes de terre de consommation blondes à chair ferme micro-ondable
france500g2,00€ / kg
    Avec ma livraison
    
1,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-10","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        8
    

    
    Pommes de terre de consommation brossées bio
france1,5kg2,46€ / kg
    Avec ma livraison
    
3,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-11","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        7
    

    
    Pommes de terre Ratte du Touquet
france1kg3,99€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-12","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        9
    

    
    Pommes de terre grenaille Amandine
france1kg2,99€ / kg
    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-13","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        10
    
AUCHAN BIO
    Pommes de terre pour salade et à la vapeur
france2 kg2,25€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-14","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        11
    
AUCHAN BIO
    CULTIVONS LE BON Carottes
france1,5 kg2,19€ / kg
    Avec ma livraison
    
3,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-15","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        9
    

    
    Carottes zéro résidu de pesticides
france750g2,65€ / kg
    Avec ma livraison
    
1,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-16","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        12
    
AUCHAN
    Carottes
france1,5kg1,99€ / kg
    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-17","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","7
    

    
    Carottes fanes
espagne1 botte2,49€ / pce
    Avec ma livraison
    
2,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-18","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","Best of promos
    
        
        
        
        12
    

    
    Poireaux botte
france1kg1,39€ / kg
    Avec ma livraison
    
1,39€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-19","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        7
    

    
    Blancs de poireaux
france500g8,98€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-20","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        8
    

    
    Poireaux bio
france750g5,32€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-21","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","Nouveauté
    
        
        
        
        11
    

    
    Chou-fleur
france1 pièce4,49€ / pce
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-22","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","4
    

    
    Brocoli bio
espagne300g5,98€ / kg
    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-23","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        9
    

    
    Choux de Bruxelles
france750g3,99€ / kg
    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-24","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        7
    

    
    Chou blanc
france1 pièce1,99€ / pce
    Avec ma livraison
    
1,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-25","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        6
    

    
    Chou rouge
france1 pièce2,49€ / pce
    Avec ma livraison
    
2,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-26","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        9
    

    
    Chou vert frisé
france1 pièce3,99€ / pce
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-27","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        9
    

    
    Navets
franceFilet 500g3,58€ / kg
    Avec ma livraison
    
1,79€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-28","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","C'est de saison !
    
        
        
        
        21
    

    
    Mélange légumes pour pot au feu : carotte, poireau, navet, oignon et bouquet garni
france1,5kg2,99€ / kg
    Avec ma livraison
    
4,49€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-29","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","27
    

    
    Mélange légumes de saison : carottes, chou vert, oignons, navets, pommes de terre et poireaux
france5kg1,60€ / kg
    Avec ma livraison
    
7,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706540169-30","https://www.auchan.fr/fruits-legumes/legumes/ca-n0302","2
    

    
    Filets réutilisables pour fruits et légumes
3 pièces1,29€ / pce
    Avec ma livraison
    
1,29€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
