web-scraper-order,web-scraper-start-url,produit
"1706541272-1","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","6
    
MON BOULANGER
    Baguette aux graines
250g5,00€ / kg
    Avec ma livraison
    
1,25€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-2","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","16
    
MON BOULANGER
    Baguette camusette de campagne précuite bio
2x206g8,62€ / kg
    Avec ma livraison
    
3,55€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-3","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","5
    
MON BOULANGER
    Baguette campagne
250g5,00€ / kg
    Avec ma livraison
    
1,25€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-4","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","5
    
MON BOULANGER
    CULTIVONS LE BON Baguette saveur de Tradition Française 
1kg3 +1 offerte3,30€ / kg
    Avec ma livraison
    
3,30€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-5","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON BOULANGER
    Baguette saveur pavot
250g5,00€ / kg
    Avec ma livraison
    
1,25€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-6","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","MON BOULANGER
    Baguette bio
250g6,36€ / kg
    Avec ma livraison
    
1,59€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-7","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON BOULANGER
    Navette à garnir
300g20 pièces15,50€ / kg
    Avec ma livraison
    
4,65€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-8","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","18
    
MON BOULANGER
    Petits pains blanc
500g10 pièces6,40€ / kg
    Avec ma livraison
    
3,20€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-9","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","13
    
MON BOULANGER
    Boulot tranché
500g3,20€ / kg
    Avec ma livraison
    
1,60€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-10","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","6
    
MON BOULANGER
    CULTIVONS LE BON Miche bio
400g5,98€ / kg
            Bientôt dispo !
            



    
    




    Avec ma livraison
    
2,39€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-11","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Petits pains blancs
250g5 portions6,60€ / kg
    Avec ma livraison
    
1,65€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-12","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","5
    
MON BOULANGER
    Pain long
400g2,05€ / kg
    Avec ma livraison
    
0,82€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-13","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","83
    
MON BOULANGER
    Pavé saveur en tranche
500g3,78€ / kg
    Avec ma livraison
    
1,89€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-14","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON BOULANGER
    Pain blanc boulot 
500G3,20€ / kg
    Avec ma livraison
    
1,60€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-15","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON BOULANGER
    Déjeunettes saveur traditionnel Française 
400g4 portions6,75€ / kg
    Avec ma livraison
    
2,70€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-16","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","MON BOULANGER
    Déjeunettes
400g4 portions6,75€ / kg
    Avec ma livraison
    
2,70€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-17","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","65
    
MON BOULANGER
    Pain multicéréales tranché
300g5,50€ / kg
    Avec ma livraison
    
1,65€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-18","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Pain au maïs 
300g1,95€ / pce
    Avec ma livraison
    
1,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-19","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Fougasse aux lardons
400g10,63€ / kg
    Avec ma livraison
    
4,25€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-20","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","MON BOULANGER
    Pain au maïs
300g6,50€ / kg
    Avec ma livraison
    
1,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-21","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","10
    
MON BOULANGER
    Brioche Nanterre nature
400g7,50€ / kg
    Avec ma livraison
    
3,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-22","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","9
    
MON BOULANGER
    Pain au chocolat pur beurre
220g4 pièces13,59€ / kg
            Bientôt dispo !
            



    
    
             								
												Voir les produits similaires
											
										




    Avec ma livraison
    
2,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-23","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Croissant pur beurre
220g4 portions13,89€ / kg
    Avec ma livraison
    
2,50€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-24","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","18
    
MON BOULANGER
    Assortiment de mini viennoiseries pur beurre
375g15 portions13,20€ / kg
    Avec ma livraison
    
4,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-25","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","8
    
MON BOULANGER
    Chausson aux pommes pur beurre
360g4 portions11,08€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-26","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Oranais
246g2 pièces12,60€ / kg
    Avec ma livraison
    
3,10€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-27","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Pain au raisin
420g4 portions9,50€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-28","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON BOULANGER
    Briochet chocolat X5+1
300g6 pièces9,83€ / kg
    Avec ma livraison
    
2,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-29","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","4
    
MON BOULANGER
    Briochet nature X5+1 
300g6 pièces9,30€ / kg
    Avec ma livraison
    
2,79€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-30","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON BOULANGER
    Pain au raisin
420g4 portions9,50€ / kg
    Avec ma livraison
    
3,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-31","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON BOULANGER
    Brioche vendéenne Label Rouge
400g11,73€ / kg
    Avec ma livraison
    
4,69€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-32","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","Prix promo
    
        
        
        
        10
    
BERNARD JARNOUX CREPIER
    Petites Crêpes moelleuses saveur vanille
200g9,00€ / kg
    Avec ma livraison
    
1,80€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-33","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","17
    
CROUSTIPATE
    Pâte à croissant
240g4 pièces7,58€ / kg
    Avec ma livraison
    
1,82€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-34","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","4
    
LA BOULANGERE
    Gâche tranchée bio
400g15 tanches7,18€ / kg
    Avec ma livraison
    
2,87€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-35","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","4
    
MON PÂTISSIER
    Flan filière
660g4 parts9,09€ / kg
    Avec ma livraison
    
6,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-36","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","Nouveauté
    
        
        
        
        5
    
MON PÂTISSIER
    Galette Des Rois aux pommes 18cm boîte
340g4 personnes20,31€ / kg
            Bientôt dispo !
            



    
    
             								
												Voir les produits similaires
											
										




    Avec ma livraison
    
6,50€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-37","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Coupe duo à la fraise
295g13,39€ / kg
    Avec ma livraison
    
3,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-38","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
BERNARD JARNOUX CREPIER
    Pancakes extra moelleux
176g8 pièces14,72€ / kg
    Avec ma livraison
    
2,59€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-39","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Chouquettes pur beurre
160g20 pièces24,38€ / kg
    Avec ma livraison
    
3,90€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-40","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Délices au caramel sel de Guérande et chocolat
320g17,19€ / kg
    Avec ma livraison
    
5,50€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-41","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON PÂTISSIER
    Barquette 18 roses des sables chocolat au lait
250g22,00€ / kg
    Avec ma livraison
    
5,50€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-42","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","Assemblé en magasin
    
        
        
        
        4
    
MON PÂTISSIER
    CULTIVONS LE BON Flan nature 
310g2 pièces6,42€ / kg
    Avec ma livraison
    
1,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-43","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON PÂTISSIER
    Mini-donuts au chocolat
72g4 pièces13,89€ / kg
    Avec ma livraison
    
1,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-44","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Mini donuts avec glaçage rose et décor vermicelles en sucre
72g4 donuts13,89€ / kg
    Avec ma livraison
    
1,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-45","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Beignet au chocolat noisette
300g4 pièces11,30€ / kg
    Avec ma livraison
    
3,39€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-46","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","5
    
MON PÂTISSIER
    Eclairs au chocolat
150g2 portions19,33€ / kg
    Avec ma livraison
    
2,90€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-47","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","Assemblé en magasin
    
        
        
        
        5
    
MON PÂTISSIER
    Millefeuille individuel
270g2 portions 14,44€ / kg
    Avec ma livraison
    
3,90€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-48","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","2
    
MON PÂTISSIER
    Coupe duo aux profiteroles
315g12,54€ / kg
    Avec ma livraison
    
3,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-49","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","Assemblé en magasin
    
        
        
        
        2
    
MON PÂTISSIER
    Tartelettes aux fraises
280g2 pièces15,00€ / kg
    Avec ma livraison
    
4,20€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-50","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","4
    
MON PÂTISSIER
    Tropézienne
220g2 portions 17,05€ / kg
    Avec ma livraison
    
3,75€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-51","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON PÂTISSIER
    Financier
175g5 pièces29,43€ / kg
    Avec ma livraison
    
5,15€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-52","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","7
    
MON PÂTISSIER
    Délice Framboise Nougat
563g6 parts26,64€ / kg
    Avec ma livraison
    
15,00€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-53","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON PÂTISSIER
    Tarte citron meringuée 
680g22cm18,31€ / kg
    Avec ma livraison
    
12,45€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-54","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","3
    
MON PÂTISSIER
    Fraisier
240g2 portions27,08€ / kg
    Avec ma livraison
    
6,50€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-55","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","1
    
MON PÂTISSIER
    Millefeuille
870g6 parts10,95€ / pce
    Avec ma livraison
    
10,95€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
"1706541272-56","https://www.auchan.fr/charcuterie-traiteur-pain/pain-patisserie/ca-n1203","4
    
MON PÂTISSIER
    Forêt Noire 18cm
755g6 parts23,83€ / kg
    Avec ma livraison
    
17,99€
    
    
    
    
    
    
    
        
                
                Ajouter au panier"
