Titre,Lien_du_titre,image,prix,étiquette,motclé,pltext,unité,dsproductcardrefonte_origintext,image1,dsproductcardrefonte_shimzonesmall
 Citron jaune ,https://www.carrefour.fr/p/citron-jaune-3000001032670?t=1883,," 0,80 ",, la pièce  la pièce  0.80 € / U , la pièce , 0.80 € / U , ESPAGNE ,, la pièce 
 Citron vert ,https://www.carrefour.fr/p/citron-vert-3276552310721?t=1883,," 0,50 ",, la pièce  la pièce  0.50 € / U , la pièce , 0.50 € / U , BRESIL ,, la pièce 
 Kiwi Hayward ,https://www.carrefour.fr/p/kiwi-hayward-3276552308414?t=1883,," 0,59 ",, la pièce  la pièce  0.59 € / U , la pièce , 0.59 € / U , NOUVELLE-ZELANDE ,, la pièce 
 Kiwi  jaune Sungold ,https://www.carrefour.fr/p/kiwi-jaune-sungold-3276552308865?t=1883,," 0,79 ",, la pièce  la pièce  0.79 € / U , la pièce , 0.79 € / U , NOUVELLE-ZELANDE ,, la pièce 
 Fruit de la passion ,https://www.carrefour.fr/p/fruit-de-la-passion-3000001022961?t=1883,," 1,59 ",, la pièce  la pièce  1.59 € / U , la pièce , 1.59 € / U , VIET NAM ,, la pièce 
 Pomelo rouge ,https://www.carrefour.fr/p/pomelo-rouge-3000001035008?t=1883,," 0,99 ",, la pièce  la pièce  0.99 € / U , la pièce , 0.99 € / U , AFRIQUE DU SUD ,, la pièce 
 Pomelos roses Bio CARREFOUR BIO ,https://www.carrefour.fr/p/pomelos-roses-bio-carrefour-bio-3276550374428?t=1883,," 2,60 ", Prime Bio , 2 pièces  les 2 fruits  2.60 € / U , les 2 fruits , 2.60 € / U , ESPAGNE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 2 pièces 
 Clémentine feuille bio  Corse CARREFOUR BIO ,https://www.carrefour.fr/p/clementine-feuille-bio-corse-carrefour-bio-3270190011057?t=1883,," 2,91 ",, 1Kg  La barquette de 1Kg  2.91 € / KG , La barquette de 1Kg , 2.91 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1Kg 
 Clémentines à feuille Bio CARREFOUR BIO ,https://www.carrefour.fr/p/clementines-a-feuille-bio-carrefour-bio-3523680470484?t=1883,," 3,79 ", Prime Bio , 750g  la barquette de 750g  5.05 € / KG , la barquette de 750g , 5.05 € / KG , ESPAGNE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 750g 
 Mandarines bio CARREFOUR BIO ,https://www.carrefour.fr/p/mandarines-bio-carrefour-bio-3276550134923?t=1883,," 3,99 ", Prime Bio , 1Kg  le filet de 1Kg  3.99 € / KG , le filet de 1Kg , 3.99 € / KG , ESPAGNE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1Kg 
 Clémentines de Corse Bio CARREFOUR BIO ,https://www.carrefour.fr/p/clementines-de-corse-bio-carrefour-bio-3523680466166?t=1883,," 3,99 ", Prime Bio , 500g  la barquette de 500g  7.98 € / KG , la barquette de 500g , 7.98 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 500g 
 Oranges Sanguines Bio ,https://www.carrefour.fr/p/oranges-sanguines-bio-3523680400825?t=1883,," 2,99 ",, 1Kg  La barquette de 1Kg  2.99 € / KG , La barquette de 1Kg , 2.99 € / KG , ORIGINE C.E.E. ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1Kg 
 Mandarine à feuille Bio ,https://www.carrefour.fr/p/mandarine-a-feuille-bio-3523680421189?t=1883,," 4,19 ",, la barquette de 750g  5.59 € / KG , la barquette de 750g , 5.59 € / KG , UE ET HORS UE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 5.59 € / KG 
 Clémentines bio CARREFOUR BIO ,https://www.carrefour.fr/p/clementines-bio-carrefour-bio-3276559447055?t=1883,," 3,79 ", Prime Bio , 1Kg  le filet de 1 kg  3.79 € / U , le filet de 1 kg , 3.79 € / U , ORIGINE C.E.E. ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1Kg 
 Clémentine  de Corse en conversion Bio ,https://www.carrefour.fr/p/clementine-de-corse-en-conversion-bio-3523680421165?t=1883,," 3,69 ",, 750g  la barquette de 750g  4.92 € / KG , la barquette de 750g , 4.92 € / KG , FRANCE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 750g 
 Mandarines Bio ,https://www.carrefour.fr/p/mandarines-bio-3523680261785?t=1883,," 3,51 ",, 750g  la barquette de 750g  4.68 € / KG , la barquette de 750g , 4.68 € / KG , ESPAGNE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 750g 
 Citron jaune Primofiori Bio ,https://www.carrefour.fr/p/citron-jaune-primofiori-bio-3523680258341?t=1883,," 1,69 ",, le sachet de 4 fruits  3.38 € / KG , le sachet de 4 fruits , 3.38 € / KG , ORIGINE C.E.E. ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 3.38 € / KG 
 Oranges Bio CARREFOUR BIO ,https://www.carrefour.fr/p/oranges-bio-carrefour-bio-3276555704107?t=1883,," 2,95 ", Prime Bio , 1Kg  le filet de 1 kg  2.95 € / KG , le filet de 1 kg , 2.95 € / KG , ESPAGNE ,https://www.carrefour.fr/images/badges/flag-common-organic.svg, 1Kg 
