web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545323-1","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-2","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Rôti de PORC filet sans os",""
"1706545323-3","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-4","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 500g environ",""
"1706545323-5","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-6","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Jean Rozé",""
"1706545323-7","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Viande hachée vrac pur  BŒUF  5% MG",""
"1706545323-8","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","la barquette de 350 g",""
"1706545323-9","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Jean Rozé",""
"1706545323-10","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Viande hachée vrac pur  BŒUF  20% MG",""
"1706545323-11","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","la barquette de 600 g",""
"1706545323-12","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Jean Rozé",""
"1706545323-13","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Steaks hachés, taux de matière grasse inférieur à 15% MG",""
"1706545323-14","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Les 2 pièces de 125g - 250g",""
"1706545323-15","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-16","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Côte de PORC échine",""
"1706545323-17","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-18","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 400g environ (2 pièces)",""
"1706545323-19","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-20","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-21","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","VIANDE BOVINE : Faux filet à griller (race laitière)",""
"1706545323-22","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-23","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 300g environ (2 pièces)",""
"1706545323-24","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-25","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-26","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Rôti de PORC échine sans os",""
"1706545323-27","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-28","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 500g environ",""
"1706545323-29","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-30","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-31","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","VIANDE BOVINE : Bourguignon (collier, poitrine, et divers morceaux sans os à bourguignon) à mijoter (race laitère)",""
"1706545323-32","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-33","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 600g environ",""
"1706545323-34","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-35","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-36","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","VIANDE BOVINE : Rumsteck à griller (race laitière)",""
"1706545323-37","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-38","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 300g environ (2 pièces)",""
"1706545323-39","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-40","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-41","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Sauté de PORC sans os (épaule, pointe)",""
"1706545323-42","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-43","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 500g environ",""
"1706545323-44","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","FRANCE",""
"1706545323-45","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Le Choix du Boucher",""
"1706545323-46","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","Côte de PORC PREMIERE",""
"1706545323-47","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","cat. *",""
"1706545323-48","https://www.intermarche.com/rayons/viandes-et-poissons/boucherie/9590","à la coupe, à partir de 400g environ (2 pièces)",""
