web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706543106-1","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-2","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Bananes",""
"1706543106-3","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-4","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250g environ (soit 1 banane)",""
"1706543106-5","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","COTE D IVOIRE",""
"1706543106-6","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-7","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Clémentines",""
"1706543106-8","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-9","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 75 gr (soit 1 clémentine)",""
"1706543106-10","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","MAROC",""
"1706543106-11","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir Bio",""
"1706543106-12","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Bananes BIO",""
"1706543106-13","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 2",""
"1706543106-14","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","les  5 bananes",""
"1706543106-15","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","EQUATEUR",""
"1706543106-16","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Petit prix",""
"1706543106-17","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes BICOLORES",""
"1706543106-18","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-19","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","le sachet de 2 kg",""
"1706543106-20","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-21","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-22","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Kiwi VERT",""
"1706543106-23","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-24","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-25","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-26","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-27","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Kiwis JAUNES",""
"1706543106-28","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-29","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","vendu à la pièce",""
"1706543106-30","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","ITALIE",""
"1706543106-31","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-32","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Poires CONFERENCE",""
"1706543106-33","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-34","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac - à partir de 250 gr (soit 1 poire)",""
"1706543106-35","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-36","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Le Choix du Primeur",""
"1706543106-37","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes PINK LADY",""
"1706543106-38","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-39","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac – à partir de 200g environ (soit 1 pomme)",""
"1706543106-40","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-41","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Mon Marché Plaisir",""
"1706543106-42","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Oranges A JUS",""
"1706543106-43","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
