web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545819-1","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Schweppes",""
"1706545819-2","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Boisson saveur agrûmes",""
"1706545819-3","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 4x1.5l - 6l",""
"1706545819-4","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Look",""
"1706545819-5","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Boisson Ice Tea saveur pêche",""
"1706545819-6","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 2 l",""
"1706545819-7","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Look",""
"1706545819-8","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Limonade",""
"1706545819-9","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,5 l",""
"1706545819-10","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Look",""
"1706545819-11","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Limonade Zéro",""
"1706545819-12","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,5 l",""
"1706545819-13","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-14","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola goût original",""
"1706545819-15","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 6 canettes de 330 ml",""
"1706545819-16","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-17","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola gout original",""
"1706545819-18","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,75 l",""
"1706545819-19","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-20","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Zero - Soda au cola sans sucres",""
"1706545819-21","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 6 canettes de 330 ml",""
"1706545819-22","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-23","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Zero - Soda au cola sans sucres",""
"1706545819-24","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 6 bouteilles de 1,25 l",""
"1706545819-25","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-26","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Zéro - Soda au cola sans sucres",""
"1706545819-27","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,75 l",""
"1706545819-28","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-29","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola gout original",""
"1706545819-30","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 4 bouteilles de 50 cl",""
"1706545819-31","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-32","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda",""
"1706545819-33","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","le pack de 12 x 33cl - 3.9l",""
"1706545819-34","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-35","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola goût Original",""
"1706545819-36","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,25 l",""
"1706545819-37","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-38","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola goût original",""
"1706545819-39","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 6 bouteilles de 1,25 l",""
"1706545819-40","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-41","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Soda au cola goût Original",""
"1706545819-42","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","les 8 canettes de 15 cl",""
"1706545819-43","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Pepsi",""
"1706545819-44","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Zéro - Soda au cola sans sucres",""
"1706545819-45","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","La bouteille de 1,5l",""
"1706545819-46","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Lipton",""
"1706545819-47","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Ice Tea - Boisson thé saveur pêche",""
"1706545819-48","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","La bouteille de 1,25l",""
"1706545819-49","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Coca-Cola",""
"1706545819-50","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Cherry - Soda au cola saveur cerise",""
"1706545819-51","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","la bouteille de 1,25 l",""
"1706545819-52","https://www.intermarche.com/rayons/eaux-sodas-jus/colas-thes-glaces-boissons-gazeuses/15454","Fuzetea",""
