web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545146-1","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Les Crudettes",""
"1706545146-2","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Laitue 100% Cœur",""
"1706545146-3","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le sachet de 150g",""
"1706545146-4","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Mon Marché Plaisir",""
"1706545146-5","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Pommes de terre VAPEUR gratin raclette",""
"1706545146-6","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-7","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le filet de 2,5 kg",""
"1706545146-8","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-9","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Petit prix",""
"1706545146-10","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Oignons JAUNES",""
"1706545146-11","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-12","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","le filet de 1,5 kg",""
"1706545146-13","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-14","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-15","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Courgettes LONGUES",""
"1706545146-16","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-17","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 300 gr (soit 1 courgette)",""
"1706545146-18","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","ESPAGNE",""
"1706545146-19","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-20","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Ail BLANC",""
"1706545146-21","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-22","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 100 gr (soit 1 tête d'ail)",""
"1706545146-23","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-24","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-25","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Oignons JAUNES",""
"1706545146-26","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-27","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 150g environ (soit 1 oignon)",""
"1706545146-28","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-29","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-30","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Poireaux",""
"1706545146-31","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
"1706545146-32","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","en vrac - à partir de 400g environ (soit 1 poireau)",""
"1706545146-33","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","FRANCE",""
"1706545146-34","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Le Choix du Primeur",""
"1706545146-35","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","Poivron ROUGE",""
"1706545146-36","https://www.intermarche.com/rayons/fruits-et-legumes/legumes/7570","cat. 1",""
