web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545553-1","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-2","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Baguette BIO",""
"1706545553-3","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","la baguette cuisson du jour de 250 g",""
"1706545553-4","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-5","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Baguette Constance",""
"1706545553-6","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain cuisson du jour de 250 g",""
"1706545553-7","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-8","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Baguettes Constance",""
"1706545553-9","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","les 3+1 baguettes cuisson du jour de 250 g",""
"1706545553-10","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-11","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Demi-baguette Constance",""
"1706545553-12","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain cuisson du jour de 125 g",""
"1706545553-13","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Cuit sur place",""
"1706545553-14","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Pain Polka long",""
"1706545553-15","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain de 500g",""
"1706545553-16","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Cuit sur place",""
"1706545553-17","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Baguette La Généreuse",""
"1706545553-18","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","la baguette cuisson du jour de 300 g",""
"1706545553-19","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-20","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Baguette Constance céréales",""
"1706545553-21","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","la baguette cuisson du jour de 250 g",""
"1706545553-22","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-23","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Pain pavé multicéréales",""
"1706545553-24","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain cuisson du jour de 400 g",""
"1706545553-25","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-26","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Pain complet",""
"1706545553-27","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain cuisson du jour de 300 g",""
"1706545553-28","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
"1706545553-29","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Pain maïs & graines de tournesol",""
"1706545553-30","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","le pain cuisson du jour de 300 g",""
"1706545553-31","https://www.intermarche.com/rayons/pains-et-patisseries/pains-frais/9678","Producteurs & Commerçants",""
