web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545661-1","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-2","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte coquillettes",""
"1706545661-3","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le lot de 3 paquets de 1,8kg",""
"1706545661-4","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-5","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Macaroni",""
"1706545661-6","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","les 3 paquets de 500 g",""
"1706545661-7","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Saint Eloi",""
"1706545661-8","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Riz Basmati",""
"1706545661-9","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-10","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini",""
"1706545661-11","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte spaghetti",""
"1706545661-12","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-13","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Barilla",""
"1706545661-14","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte al bronzo - Linguine",""
"1706545661-15","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","la boîte de 400g",""
"1706545661-16","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Saint Eloi",""
"1706545661-17","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Couscous, grain fin",""
"1706545661-18","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","la boite de 1 kg",""
"1706545661-19","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Saint Eloi",""
"1706545661-20","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Couscous aux épices",""
"1706545661-21","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","les 4 sachets de 125 g",""
"1706545661-22","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Barilla",""
"1706545661-23","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâtes Spaghettoni - Al Bronzo",""
"1706545661-24","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 400g",""
"1706545661-25","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Jardin bio",""
"1706545661-26","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Sauce tomate pour pizza, pâtes et riz BIO",""
"1706545661-27","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le bocal de 200g",""
"1706545661-28","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini Bio",""
"1706545661-29","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Torsades complètes BIO",""
"1706545661-30","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-31","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini Bio",""
"1706545661-32","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Coquillettes BIO",""
"1706545661-33","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-34","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini Bio",""
"1706545661-35","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâtes animaux BIO",""
"1706545661-36","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-37","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini Bio",""
"1706545661-38","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Spaghetti BIO",""
"1706545661-39","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-40","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini Bio",""
"1706545661-41","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pennes rigate BIO",""
"1706545661-42","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 500 g",""
"1706545661-43","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-44","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Sauce bolognaise",""
"1706545661-45","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le pot de 425g",""
"1706545661-46","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Taureau Ailé",""
"1706545661-47","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Riz basmati du Penjab",""
"1706545661-48","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le sachet de 1kg",""
"1706545661-49","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-50","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte torti",""
"1706545661-51","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le sachet de 1kg",""
"1706545661-52","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-53","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Sauce bolognaise pur bœuf",""
"1706545661-54","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le pot de 650g",""
"1706545661-55","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Barilla",""
"1706545661-56","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Sauce pesto rosso",""
"1706545661-57","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le pot de 200g",""
"1706545661-58","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Panzani",""
"1706545661-59","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte coquillettes",""
"1706545661-60","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Le paquet de 1kg",""
"1706545661-61","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Fiorini",""
"1706545661-62","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Pâte coquillettes",""
"1706545661-63","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","le paquet de 1 kg",""
"1706545661-64","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Itinéraire des Saveurs",""
"1706545661-65","https://www.intermarche.com/rayons/epicerie-salee/pates-riz-puree-et-feculents/7593","Riz arborio pour risotto",""
