web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706545424-1","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Siggi's",""
"1706545424-2","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Skyr - Yaourt spécialité laitière sucrée à l'arôme naturel de vanille",""
"1706545424-3","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 140g - 280g",""
"1706545424-4","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-5","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Frutimax - Yaourt aux bons morceaux de fruits",""
"1706545424-6","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 8 pots de 125 g - 1kg",""
"1706545424-7","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-8","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt Onctueux aux fruits mixés",""
"1706545424-9","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 16 pots de 125 g - 2kg",""
"1706545424-10","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-11","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt à la grecque nature",""
"1706545424-12","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 150g - 600g",""
"1706545424-13","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Siggi's",""
"1706545424-14","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt myrtille",""
"1706545424-15","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 140g - 280g",""
"1706545424-16","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-17","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Bifidus aux fruits fraise",""
"1706545424-18","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 125g - 500g",""
"1706545424-19","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Pâturages",""
"1706545424-20","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Frutimax - Yaourt brassé aux bons morceaux de fruits",""
"1706545424-21","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 8 pots de 125 g - 1kg",""
"1706545424-22","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Siggi's",""
"1706545424-23","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt Skyr avec céréales miel & noix 2% MG",""
"1706545424-24","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 140g - 280g",""
"1706545424-25","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Siggi's",""
"1706545424-26","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Skyr et céréales muesli",""
"1706545424-27","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 2 pots de 140g - 280g",""
"1706545424-28","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-29","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Yaourt cerise",""
"1706545424-30","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Les 4 pots de 125 g - 500g",""
"1706545424-31","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-32","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Bifidus aux fruits poire",""
"1706545424-33","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","les 4 pots de 125g - 500g",""
"1706545424-34","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Activia",""
"1706545424-35","https://www.intermarche.com/rayons/produits-laitiers-et-%C5%93ufs/yaourts-et-fromages-blanc/7580","Bifidus aux fruits mûre framboise",""
