image,awcrs310_add,unité,unité1,unité2,description,spanwcrs310_origine,image3,image4,image5,awcrs310_add2list
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637862&use=l&cat=p&typeid=i,Ajouter Produit,                     4                 ,"                     ,74                 ","                     0,53 € / l                 ","Soda Jean's Cola                     Bouteille - 6x1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2634866&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,95                 ","                     0,48 € / l                 ",Soda Jean's Cola                      2L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=24&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2169304&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,79                 ","                     0,53 € / l                 ","Soda Jean's Cola                     Bouteille - 1,5L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637835&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,93                 ","                     0,97 € / l                 ",Soda Jean's Cola                     Bouteille - 4x50cl                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=39&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637829&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,75                 ","                     0,88 € / l                 ",Soda Jean's Cola                     Canette - 6x33cl                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=41&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2634851&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,81                 ","                     0,54 € / l                 ","Soda Jean's Cola allégé                     Bouteille - 1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637883&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,49                 ","                     0,33 € / l                 ","Soda Jean's Cola Zéro                     Bouteille - 1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637886&use=l&cat=p&typeid=i,Ajouter Produit,                     2                 ,"                     ,10                 ","                     1,06 € / l                 ",Soda Jean's Cola Zéro                     Canette - 6x33cl                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=41&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637916&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,25                 ","                     0,83 € / l                 ","Soda Jean's Cola Cherry                     Bouteille - 1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2637865&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,84                 ","                     0,56 € / l                 ","Soda Jean's Cola sans Caféine                     Zéro - Bouteille - 1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
